Reference, Hypothesis, Dist_score, Nr_of_sub, Nr_of_del, Nr_of_ins
vroeger|leefden|er|heel|veel|soorten|Indianen.,vroeger|leefden|er|heel|veel|soorten|indianen.,0.0,1,0,0
die|woonden|in|het|bos,|de|bergen|of|in|de--|woestijn.,die|woonden|in|het|bos-|de|bergen|of|in|-een|woestijn.,4.0,0,2,2
soms|waren|het|nomaden.,soms|waren|het|nomaden.,0,0,0,0
dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,dat|zijn|mensen|die|geen|vaste|plaats|hadden|om|te|wonen.,0,0,0,0
ze|moesten|hun|kamp|steeds|verplaatsen.,ze|moesten|hun|kamp|steeds|verplaatsen.,0,0,0,0
dat|deden|ze|om|---de|bizons|te|volgen.,dat|deden|ze|om|om|de|bizons|te|volgen.,3.0,0,0,3
die|hadden|ze|nodig|om|te|kunnen|leven.,die|hadden|ze|nodig|om|te|kunnen|leven.,0,0,0,0
voor|ons|zijn|lezen|en|schrijven|heel|belangrijk.,voor|ons|zijn|lezen|en|schrijven|heel|belangrijk.,0,0,0,0
maar|voor|de|Indianen|was|dat|niet|zo.,maar|voor|de|indianen|was|dat|niet|zo.,0.0,1,0,0
voor|he--------n|moest|een|jongen|een|goede|jager|en|krijger|worden.,voor|he|voor|hen|moest|één|jongen|één|goede|jager|en|krijger|worden.,16.0,4,0,8
en|een|meisje|moest|goed|kunnen|koken.,---één|meisje|moest|goed|kunnen|koken.,7.0,2,3,0
en|dat|leerden|ze|niet|op|school.,en|dat|leerden|ze|niet|op|school.,0,0,0,0
de|vader,|---de|grootvader------s|en|de|ooms|vertelden|de|kleine|jongen|alle-----s|over|de|jacht|en|de|oorlog.,de|vader-|en|de|grootvader|vaders|en|de|ooms|vertelden|de|kleine|jongen|alle|alles|over|de|jacht|en|de|oorlog.,15.0,0,1,14
ze|toonden|hem|hoe|je|het|spoor|van|een|dier|volgt|en|hoe|je|een|boog|op-spant.,ze|toonden|hem|hoe|je|het|spoor|van|een|dier|volgt|en|hoe|je|één|boog|ontspant.,7.0,3,0,1
meisjes|deden|niet|mee|aan|de|jacht|of|de|oorlog.,meisjes|deden|niet|mee|aan------------|de|oorlog.,12.0,0,12,0
ze|leerden|koken|en|het|huishouden|doen.,ze|leerden|koken|en|het|huishouden|doen.,0,0,0,0
dat|zou|later|immers|hun|taak|zijn.,dat|zou|later|immers|hun|taak|zijn.,0,0,0,0
daarom|hielpen|ze|hun|moeder|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,daarom|hielpen|ze|hun|moeder|al|heel|jong|met|fruit|plukken|en|hout|zoeken.,0,0,0,0
ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,ze|zorgden|ook|vaak|voor|hun|kleine|broertjes|en|zusjes.,0,0,0,0
zo|maakten|ze|zich|klaar|voor|hun|rol|als|moeder.,zo|maakten|ze|zich|klaar|voor|hun|rol|als|moeder.,0,0,0,0
had|jij|graag|als|Indiaan|geboren|willen|zijn?,had|jij|graag|als|indiaan|geboren|willen|zijn?,0.0,1,0,0
of|zou|je|je|klas|--------------en|de|school|dan|missen?,of|zou|je|de|klas|op|school|dan|en|de|school|dan|missen?,16.0,1,0,14
